悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
悪事千里, あくじせんり, 悪い噂や評判は、すぐに世間に知れ渡るということ
悪人正機, あくにんしょうき, 浄土真宗の教義の中で重要な意味を持つ思想で、罪深い悪人を救済することこそが、阿弥陀仏の本願であるという教えのこと
悪口雑言, あっこうぞうごん, あれこれ悪口を言うこと。 散々に罵ののしること
安居楽業, あんきょらくぎょう, 住居も地位も安定して楽しく仕事をしていること。 「居に安んじ業を楽しむ」と訓読する
暗黒時代, あんこくじだい, 歴史上のある一定の期間、戦争、疫病、政治情勢の不安などが原因で、社会が乱れ、文化の発展が停滞した時代
安心毛布, あんしんもうふ, 肌身離さず持っているもの。 安心感を得るために手元に置く毛布やぬいぐるみなどのこと
安心立命, あんしんりつめい, 仏教用語。信仰によって心を安らかに保ち、どんなことにも動じないこと
暗送秋波, あんそうしゅうは, 表ではうまく立ち回り、陰で悪だくみをすること。 または女性が色目を使うこと
安宅正路, あんたくせいろ, 仁と義のこと。「安宅」は安全な住居であり、仁を安らかな身の置き所にたとえていう
安歩当車, あんぽとうしゃ, 貧乏に安んじて我慢するたとえ。誰でも歩くよりは車に乗るほうがいい
移花接木, いかせつぼく, 花の枝を接ぎ木することから、密かに人や物を取り替え、表面を取り繕うこと。巧みにすり替えること
意気衝天, いきしょうてん, 意気込みや元気が、このうえなく盛んなこと。 「意気」は気力や気概
意気投合, いきとうごう, たがいの気持ちや考えなどがぴったりと合うこと
委曲求全, いきょくきゅうぜん, 全体がうまくいくように細かいことは譲歩すること。 全体の調和をはかること
異口同音, いくどうおん, 大勢の人が口をそろえて同じことを言うこと
生日足日, いくひたるひ, 活気に満ちた縁起の良い日のこと。儀式や祝典、祭礼が執り行われる当日のこと
意在言外, いざいげんがい, 意図的に自分の考えを曖昧にして相手に推察させること
移山造海, いざんぞうかい, 山や海などを動かしてしまうほどの大きな力。 また、巨大な力で自然を作り変えること
石部金吉, いしべきんきち, 石と金という二つのかたいものを重ね合わせて、人名のようにした言葉。 融通のきかない人の喩え
医食同源, いしょくどうげん, 病気を治す薬と食べ物とは、本来根源を同じくするものであるということ
衣食礼節, いしょくれいせつ, 生活が豊かになって、初めて道徳心が高まって礼儀を知るようになる
以心伝心, いしんでんしん, 言葉を使わなくても、おたがいに気持ちが通じ合うこと
以耳代目, いじだいもく, 実際には見ていないのに聞いただけで見たことにする。他人の報告をそのまま信用すること
異体同心, いたいどうしん, それぞれ異なる身体でも、心はお互いに一致していて、強く結ばれていること
一意専心, いちいせんしん, ひたすら一つのことに心を集中すること。 別表記：「一意摶心」
一衣帯水, いちいたいすい, ひとすじの帯のように狭い川や海のこと。 または、そのように近く隔てて接していること
一栄一落, いちえいいちらく, 繁栄と衰退の繰り返し。 人生には、良い時もあれば悪い時もあることを意味する
一往一来, いちおういちらい, 行ったり来たりすること。 「往」は行くこと、「来」は来ることで、「あるときは行き、あるときは来る」という意味
一月三舟, いちがつさんしゅう, たった一つの月も、行き先の違う舟の動きによって、見える方角が異なるという意味
一牛鳴地, いちぎゅうめいち, 1頭の牛の鳴き声が聞こえるほどの近い距離。 極めて近い距離の喩え
一芸一能, いちげいいちのう, 一つの技芸や才能のこと。何か特別な一つの技に秀でていること
一言一行, いちげんいっこう, ひとつの言葉とひとつの行為。何気ない言動のこと
一言居士, いちげんこじ, 何事にも一言口出しをしなければ気が済まない人
一期一会, いちごいちえ, 一生に一度会うこと。また一生に一度限りであること
一業所感, いちごうしょかん, 仏教用語。人が前世における同じ業ごうによって、それに相当する同じ報いを受けること
一言一句, いちごんいっく, 一つ一つの言葉のこと。 「一字一句」は書き言葉、「一言一句」は話し言葉に使われる
一言半句, いちごんはんく, ほんの少しの短い言葉。些細な言葉
一新紀元, いちしんきげん, 新しい時代の始まり。 古い時代が終わりを告げ、新たな時代が始まる最初の年
一字一句, いちじいっく, 一つの文字と一つの語句のこと。 「一字一句」は書き言葉、「一言一句」は話し言葉に使われる
